時間,LLM,聲音,文本,結果,耗時(s),Seed,檔案路徑,備註
2026-08-18T12:16:33,V5,1139男聲,三國演義台語,成功,32.2,1174221910,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V5_1139男聲.wav,
2026-08-18T12:17:16,V5,1139男聲,紅樓夢台語,成功,42.2,1095305481,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V5_1139男聲.wav,
2026-08-18T12:17:55,V5,1139男聲,氣象台語,成功,38.8,1318054267,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V5_1139男聲.wav,
2026-08-18T12:18:49,V4,1139男聲,三國演義,成功,54.1,790008139,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V4_1139男聲.wav,
2026-08-18T12:19:21,V4,1139男聲,紅樓夢,成功,31.6,1932716299,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V4_1139男聲.wav,
2026-08-18T12:19:56,V4,1139男聲,氣象,成功,35.2,1869501469,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V4_1139男聲.wav,
2026-08-18T12:20:09,V4,1139男聲,三國演義台語,成功,12.4,1742756909,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V4_1139男聲.wav,
2026-08-18T12:20:45,V4,1139男聲,紅樓夢台語,成功,36.8,2139024901,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V4_1139男聲.wav,
2026-08-18T12:22:01,V4,1139男聲,氣象台語,成功,75.3,401829241,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V4_1139男聲.wav,
2026-08-18T12:22:47,V3g,1139男聲,三國演義,成功,45.8,609158270,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V3g_1139男聲.wav,
2026-08-18T12:23:19,V3g,1139男聲,紅樓夢,成功,32.1,2009205994,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V3g_1139男聲.wav,
2026-08-18T12:23:48,V3g,1139男聲,氣象,成功,28.7,179164848,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V3g_1139男聲.wav,
2026-08-18T12:24:14,V3g,1139男聲,三國演義台語,成功,26.0,1850658548,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V3g_1139男聲.wav,
2026-08-18T12:24:42,V3g,1139男聲,紅樓夢台語,成功,27.7,879785179,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V3g_1139男聲.wav,
2026-08-18T12:25:15,V3g,1139男聲,氣象台語,成功,33.8,1512700551,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V3g_1139男聲.wav,
